"Name","padel_CrippenLogP","padel_nBase","padel_XLogP","padel_AATS1v","padel_AATS0i","padel_ETA_EtaP_F","padel_ZMIC2","padel_maxHBa","padel_minsssN","padel_AATS1i","padel_ETA_dEpsilon_B","padel_GATS1i","padel_ZMIC1","padel_SsssN","padel_nAromBond","padel_AATSC0p","padel_minHBd","padel_LipoaffinityIndex","padel_AATS3v","padel_AATS2i","padel_C2SP2","padel_AATS4v","padel_Kier2","padel_AATS6m","padel_AATS6v","padel_minssCH2","Opera_LogP","Opera_LogWS","Opera_LogBCF","Opera_LogKM"
"DTXSID50379930",4.9545,1,7.026,292.253572046346,233.950877193452,1.35029,92.7738721298636,13.0209382086168,0,173.823392115613,0,1.431549144518,97.1389813475284,0,0,0.244817735346193,0.827222762957341,12.3033875990912,216.177860209675,202.563697772153,0,214.59814312535,6.76801332778009,220.679182938696,203.005322472913,-2.95203857237339,4.78879287225345,-6.00645425327368,1.88343433532573,0.403294089070339
"DTXSID50381992",2.9712,1,4.436,267.6318683506,224.18791172142,0.9119,58.4359810308082,12.088727324263,0,171.737378403709,0,1.40209264376575,61.2663003074601,0,0,0.229251704983812,0.766388888888889,8.20704268424037,165.664909875866,204.150509722079,0,143.868027900393,4.93827160493827,151.841641150307,176.302335761,-2.35895833333333,2.84750220945507,-2.34460733931799,1.69749435167172,-1.08117879433069
"DTXSID00190950",3.7175,0,5.331,291.95941171184,232.248592184385,1.18216,71.140607407379,12.6168055555556,0,171.998097825954,0,1.40155846985221,74.809932320724,0,0,0.243823177762998,0.857407407407407,9.31520338447185,213.842956276874,203.318083661866,0,209.338495625966,5.27392257121987,210.07615364971,186.474912017192,-3.20509991496599,3.56050126759046,-3.70493596908846,1.69558054541847,-0.134624000334396
"DTXSID0059879",2.1497,0,3.053,271.390304081467,221.529186281639,0.89087,44.8401027971689,12.0904166666667,0,169.091783019403,0,1.30888959695037,51.3498813003607,0,0,0.229584671356617,0.859297052154195,5.1468023308768,188.980431963521,197.940900176579,0,174.314537628064,3.86776859504132,62.7566213456,91.2900857177074,-2.65048611111111,2.19133712055606,-3.24276129733398,0.638504191426821,-1.19065850257342
"DTXSID10379991",5.7683,0,7.809,284.668223775403,223.19528011784,1.30378,96.0899817690928,13.2309637188209,0,167.439076701959,0,1.28641175121623,105.882915474703,0,0,0.246925165356749,0.745264628533859,11.4874446484868,201.584849094591,194.347257701074,0,202.511549493977,7.8477508650519,192.526742607828,197.621262013357,-2.60828857237339,5.1283061944571,-5.64178382535139,2.19549159213372,0.438586592142124
"DTXSID1047578",4.2797,0,5.939,300.532438107801,217.08256093923,0.74078,59.7849045420694,12.5368516666667,0,164.727362517874,0,1.14224307397369,66.5807070730809,0,0,1.16805355789584,0,6.57324570557823,204.903014109703,193.382976280007,0,213.020830025266,4.3491124260355,402.583428323123,184.844935461615,-1.64991820987654,5.07736831883879,-3.8949315222393,2.86401595073418,-0.523855222279943
"DTXSID20335129",5.503,0,7.534,341.848449860149,234.127269775,0.87225,90.0018492217511,12.7713014403292,0,171.276689621579,0,1.30639718976996,86.1404357355059,0,0,0.65301336,0,6.63720537698413,259.907790713446,203.933112306667,0,263.023621314993,4.75,655.106744539453,278.602774322729,0,5.0088506516805,-3.90329609629755,2.57477723615547,-0.836389056216972
"DTXSID30190948",4.3126,0,6.172,369.188706089884,225.290483875371,0.51856,89.3164640919691,12.3243238888889,0,168.095334842,0,1.06892636780794,85.3534796314398,0,0,2.63033363265306,0,0.147280844074076,289.166665455452,199.406896103667,0,310.027764029549,3.25,0,0,0,3.37169923369957,-4.01342727209038,2.26621903700225,0.75787899792431
"DTXSID30395037",3.0067,0,4.226,254.181017417727,210.397059721817,0.87041,68.6765917485809,11.6838825113379,0,165.518978652412,0,1.31420530267216,69.1344200356129,0,0,0.215892232584197,0,6.53980782312925,160.365347687123,200.768286125733,0,181.185769334674,7.1358024691358,104.393043600747,176.650618692414,-2.1176776266062,2.11444150539645,-1.07971512470361,0.417649213301216,-0.825445149124623
"DTXSID40379666",3.80858,0,3.929,293.414453521338,194.04618757753,0.96803,39.661817560532,13.0486033950617,0.383140432098765,153.988404302752,0,1.21475323235095,52.8381179988184,0.383140432098765,0,0.887523837039315,0,9.9281846830121,209.22939886978,174.734287323075,0,147.379470844246,4.83555555555556,92.002071340141,165.504415316834,0,4.37028505168866,-2.93491705366413,1.13094522282811,-0.45535562349596
"DTXSID4059914",1.8116,0,2.688,271.539630620946,224.817292341016,0.84454,40.2148915660679,11.7065972222222,0,171.318389477639,0,1.35764910008698,43.2221914147181,0,0,0.224464363451396,0.880555555555556,5.34670402777778,183.601595449529,203.89604766361,0,160.345102178593,3.04709141274238,19.1503904256,74.1834929458842,-2.55604166666667,1.93992875758016,-1.73518562057829,0.409522940770076,-1.15153880830757
"DTXSID50184723",4.3192,1,6.145,288.75691164805,232.806247043821,1.26555,81.9366885235023,12.8598611111111,0,173.908722136978,0,1.42558164414362,86.6169859629866,0,0,0.241522621818245,0.817429374527589,11.0610893596466,212.099606979556,202.569385053386,0,209.671194348064,6.02055164954029,208.425181641276,193.482648365554,-2.84037190570673,4.00326513898498,-5.61454130344663,1.79032030324899,0.134504544240745
"DTXSID50382621",5.133,0,6.928,281.00679016394,221.246297226432,1.21666,84.6156824700779,13.09320861678,0,166.912544337455,0,1.27188777223435,94.7339132988287,0,0,0.244346514479815,0.746805555555556,10.3119138518573,196.671318464662,193.543838207901,0,197.119599236384,7.11111111111111,179.052356336435,189.754439966952,-2.49662190570673,4.40658803418783,-5.26856814805966,2.10137682752841,0.124060029488237
"DTXSID5044572",4.1076,0,5.689,283.386792456257,224.836884169028,1.15187,71.5956686794404,12.7886805555556,0,168.80752698126,0,1.31459385996343,79.3044130808326,0,0,0.242485064119876,0.791388888888889,9.07020607048375,201.312002898654,197.283261151553,0,201.042562183054,5.81717451523546,179.583182304208,181.836541331625,-2.58009991496599,4.57253573639212,-4.31904659344693,1.96106105233884,-0.220221556220497
"DTXSID5063235",5.63988,0,7.425,287.254747911203,215.00466129041,1.35363,84.5918173956064,13.2883408919123,0,164.074877221009,0.04364,1.19623261316337,96.464230408718,0,0,0.253798334711688,0,12.9445291158486,219.227625946814,192.331967167052,0,196.996721278994,8.1648,182.21217374023,197.296038241029,-3.16805709089191,4.21649388206219,-6.08250215399705,2.06516410782444,0.804550861630069
"DTXSID60195123",4.07969,0,5.177,302.680495532006,234.599662925222,1.36478,77.102547386189,12.8809722222222,0,174.716681949523,0,1.42728407069428,83.4840179424162,0,0,0.24631976422284,0.963262707860922,12.572763034612,231.914840589799,204.080480382918,0,223.653619184464,6.26962962962963,242.387609892943,212.673227281637,0,4.03438966336839,-4.73391420635851,1.12684036729603,0.142608995500822
"DTXSID60377821",3.6172,0,4.643,258.911376117591,207.26113486299,0.87003,50.2608782701479,12.7392191043084,0,162.182387423244,0,1.17655135747409,63.3316666987181,0,0,0.232321641475361,0.723611111111111,6.99287818499622,164.336188661982,185.410202526077,0,159.820484971719,5.55102040816327,79.9338629256616,145.093335259953,-1.88270833333333,4.31124353828958,-3.59227110291709,1.14639734604179,-0.676248358382467
"DTXSID60379269",2.5918,0,3.404,255.376754883699,207.881843113916,0.77218,40.4808523390844,12.3034027777778,0,163.226817785928,0,1.19360701462289,48.5287210563733,0,0,0.226660939077556,0.759826388888889,5.45486004676871,158.591456082716,187.724475392485,0,150.665873940193,4.24489795918367,83.3700145812572,130.956384253946,-1.71229166666667,2.31339453977806,-2.63727968641541,0.730003011220013,-0.934723361330494
"DTXSID60379901",6.02998,0,7.92,281.760692404802,211.199935040852,1.32555,74.3412567340382,13.4252625031494,0,162.517372480292,0.03783,1.16931170311778,93.714193806799,0,0,0.251583027615536,0,12.4210734857965,215.987977060508,189.591778627246,0,189.185129431846,8.74125336409073,158.175093811829,185.10073934027,-2.76189342403628,4.73129156339,-6.09132235149397,2.03332705607633,0.848047575506704
"DTXSID70381151",4.29647,2,5.9,295.368145844037,233.746333143312,1.36005,76.4475817753048,12.9365277777778,0,175.947772552181,0,1.4396395858455,84.6473720446809,0,0,0.240457647058259,0.870381353930461,12.750373050674,228.728450475432,203.522746249244,0,211.539474813685,6.26962962962963,223.902597722076,204.744750477524,0,4.17550508658306,-2.02571443563878,1.36339515930253,-0.122713088792575
"DTXSID7060332",3.69129,0,4.128,316.522298475567,191.825676748254,1.08604,38.8463003857746,12.9488525132275,0,152.80255701162,0.0971,0.87644551563691,54.1306107918719,0,5,0.38535105551184,0,6.72441742045121,222.729866884826,174.051369061018,5,223.948291373469,6.01171875,155.559188793261,213.909037418538,-1.66284722222222,4.97678103055706,-3.80788349950922,1.76469766417135,-0.345946456940469
