MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_exp,LogP_pred,AD_LogP,AD_index_LogP,Conf_index_LogP,MP_exp,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_exp,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,LogVP_exp,LogVP_pred,AD_VP,AD_index_VP,Conf_index_VP,LogWS_exp,LogWS_pred,AD_WS,AD_index_WS,Conf_index_WS,LogHL_exp,LogHL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_exp,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,LogKOA_exp,LogKOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,pKa_a_exp,pKa_b_exp,ionization,pKa_a_pred,pKa_b_pred,AD_pKa,AD_index_pKa,Conf_index_pKa,LogD55_pred,LogD74_pred,AD_LogD,AD_index_LogD,Conf_index_LogD,LogOH_exp,LogOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,LogBCF_exp,LogBCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_exp,BioDeg_LogHalfLife_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_exp,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg,LogKM_exp,LogKM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_exp,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,FUB_exp,FUB_pred,AD_FUB,AD_index_FUB,Conf_index_FUB
DTXSID50369896,462.011230952,34,28,10,2,0,0,0,0,1,9,2,2,1,40.46,51.8976,0.267,NaN,4.16980075680388,1,0.460022606806817,0.433893454801633,NaN,60.0482731892372,0,0.315638604700486,0.507926902846632,NaN,155.042908121337,0,0.184129161184269,0.393086925781563,NaN,-1.50311676398473,0,0.287553548318689,0.312617403552376,NaN,-2.11268900254771,0,0.54583849675622,0.515636226822229,NaN,-10.2240666729375,0,0.064561820075031,0.186095840045388,NaN,21.1845952303591,1,0.611473004547666,0.608268560830224,NaN,7.42887049783119,0,0.634470542833881,0.629718482575392,NaN,NaN,1,7.67914295679451,NaN,0,0.151351555900583,0.462621460406988,4.1669352081127,3.98629058106557,0,0.3056870813537,0.44825745760431,NaN,-14.0858521346381,1,0.306621114490997,0.394543643448139,NaN,1.57767415062941,0,0.177650888381574,0.390578450124828,NaN,0.829420092519115,0,0.36789696387403,0.620018128508529,NaN,0,0,0.350319898650205,0.675159949325102,NaN,-0.289667817750962,0,0.180637400374041,0.3532371164861,NaN,2.94577314277531,0,0.295791777338319,0.395384665678531,NaN,0.0070960117047389,0,0.305379106291511,0.6475621691715
DTXSID10379835,349.013615988,25,21,7,0,1,0,0,0,1,6,1,1,1,26.02,38.7089,-0.168,NaN,3.4422400954291,1,0.462809961508428,0.455413944981875,NaN,30.3630164361837,0,0.374818523342766,0.57190691989995,NaN,79.2007493644207,0,0.262894013818572,0.555155161295376,NaN,-0.300306261747451,1,0.397559957572684,0.524427633607845,NaN,-4.41815799716098,0,0.327234066139005,0.454314995594435,NaN,-9.56715564071219,0,0.0885440024607552,0.183283130488416,NaN,17.8559863924658,1,0.633336838570661,0.595223301433323,NaN,3.95427757731167,1,0.980639455173012,0.897955330500346,NaN,NaN,1,8.56054694581977,NaN,0,0.18812843948353,0.265727579699502,3.44186248103153,3.41322338124435,0,0.325469200495979,0.360570762340688,NaN,-13.59534223835,1,0.468621702757077,0.572060622107747,NaN,1.6912483258002,0,0.216595692411233,0.405644151274782,NaN,0.692675523598557,0,0.285800934129997,0.526752501077545,NaN,0,0,0.329781764885851,0.664890882442925,NaN,-0.28368109460639,0,0.235340928652727,0.389675763403267,NaN,2.94228037722174,0,0.345190609751655,0.488311287413323,NaN,0.00919783381098094,0,0.295200048079865,0.64366054152452
DTXSID3047558,432.039496388,36,27,12,2,0,0,0,0,0.75,10,2,0,1,26.3,58.1193,0.0289999999999999,NaN,4.282968442519,1,0.579970320385832,0.492146074597068,NaN,-1.89891221288395,1,0.308590400964103,0.369580070816499,NaN,139.75105652234,1,0.304113693366463,0.495885764976763,NaN,-1.36413319080252,1,0.487490956897551,0.454261291449926,NaN,-6.06880612693422,0,0.516736976128861,0.546212805878894,NaN,-5.28904111581609,0,0.110543512836934,0.21673763940188,NaN,17.6963954662769,1,0.258971643956177,0.361095465113782,NaN,4.5592632822535,1,0.982621078465604,0.801231279095064,NaN,NaN,0,NaN,NaN,0,0.189271737300038,0.258957329216429,4.282968442519,4.282968442519,0,0.384621028842935,0.375551701906749,NaN,-10.4492040404681,0,0.166519451378031,0.50147206550998,NaN,2.06276205224202,0,0.21862581240903,0.396786968613236,NaN,0.650625905064256,0,0.229356843470583,0.497155700971665,NaN,0,0,0.231646973426942,0.615823486713471,NaN,0.784799104806685,0,0.237420051949361,0.310318941309201,NaN,3.04961288073452,0,0.346488270682854,0.380172088396456,0.026535,0.0265221949052194,1,0.998005322363587,0.987400545521019
DTXSID50379930,449.007228868,31,27,9,0,1,0,0,0,1,8,1,1,1,26.02,48.0449,-0.294,NaN,4.78879287225345,1,0.457687769327078,0.416472968253255,NaN,51.9860902827475,0,0.400384866799973,0.54752692337646,NaN,146.29620394278,0,0.260471160932456,0.521263497317922,NaN,-1.01477453856419,0,0.401182057085386,0.49673296937985,NaN,-6.00645425327368,0,0.33564109941617,0.371367583494233,NaN,-9.67203236691692,0,0.0748337125566746,0.175016072475915,NaN,22.7808078700284,1,0.555596186821816,0.571083173631985,NaN,4.23914086762287,1,0.95679760270267,0.818837911932741,NaN,NaN,1,8.56877361149754,NaN,0,0.167492856366911,0.259521482815654,4.78842234050928,4.76030316560506,0,0.312590312846995,0.337997225534454,NaN,-14.0621367017144,1,0.380423858580316,0.434849233527177,NaN,1.88343433532573,0,0.202423850941769,0.390220544313821,NaN,0.610253384508276,0,0.289346434760137,0.555488450809152,NaN,0,0,0.373646554238391,0.686823277119195,NaN,0.403294089070339,0,0.201577261151929,0.306142144062387,NaN,3.58135067183173,0,0.303313924364628,0.381612857181349,NaN,0.00237249550643825,0,0.329512937820714,0.66371661724029
DTXSID50381992,281.02623136,22,17,6,0,1,0,0,0,1,6,1,1,0,12.03,34.9296,-0.194,NaN,2.84750220945507,1,0.398767164408669,0.457009889488887,NaN,-7.39453972622779,1,0.338357096722491,0.495911093335695,NaN,64.7499897155452,1,0.252831094908577,0.508923385086192,NaN,0.150849901631138,1,0.49090638640275,0.575230739547329,NaN,-2.34460733931799,1,0.392615721167159,0.500500181100365,NaN,-3.35044959528846,0,0.189504225142169,0.415298457394864,NaN,18.9551445248456,1,0.277801255457355,0.42521310333721,NaN,2.53742871703543,1,0.955412108536931,0.760672167380115,NaN,NaN,1,6.96594139953365,NaN,0,0.206680326949103,0.265984505023278,2.83289660142123,2.27733233582332,0,0.302723745678886,0.361497197256083,NaN,-13.1964723114475,1,0.429634958573341,0.553922957223823,NaN,1.69749435167172,1,0.316630097022767,0.475782197771396,NaN,0.565650990118961,0,0.27593122274359,0.551614607962884,NaN,0,0,0.21781520252881,0.608907601264405,NaN,-1.08117879433069,0,0.254905153881791,0.479957646215872,NaN,1.87746306714034,1,0.45719795370632,0.591109776177364,NaN,0.084595586630024,1,0.223639703294514,0.539480574081215
DTXSID00190950,349.997631576,24,21,7,1,0,0,0,0,1,6,1,1,1,20.23,37.0514,-0.0960000000000001,NaN,3.56050126759046,1,0.598374877453595,0.531561091714676,NaN,31.0547435855022,0,0.470597177658995,0.621010668361899,NaN,122.104103061249,1,0.349049676064309,0.449044384829175,NaN,-0.296794519736096,1,0.552672746908857,0.609347224473117,NaN,-3.70493596908846,0,0.540515245573118,0.469166427267874,NaN,-9.57697485540812,0,0.0873310372493568,0.182531237151299,NaN,17.5066412962435,1,0.658032568183435,0.6051542153222,NaN,3.83481696528451,1,0.965937478500985,0.890253458031193,NaN,NaN,1,8.10202958147917,NaN,0,0.15939418420972,0.2502517934736,3.55941681046055,3.48182845656685,0,0.378884530831657,0.390906442594138,NaN,-13.734873343737,1,0.508548589330953,0.583528272304887,NaN,1.69558054541847,0,0.21391977979498,0.404085180412046,NaN,0.69200018336404,0,0.287869506616812,0.527917697133246,NaN,0,0,0.379663190494039,0.689831595247019,NaN,-0.134624000334396,0,0.231094062468116,0.375600653435219,NaN,3.05358442287355,0,0.340121376133634,0.532765250229267,NaN,0.00903249290642694,0,0.378933917923151,0.685566805078066
DTXSID0059879,232.013440508,18,14,5,1,0,0,0,0,1,4,1,1,0,20.23,26.8257,0.237,NaN,2.19133712055606,1,0.562969429983137,0.591140365787092,NaN,-27.6054352633472,1,0.488948060095235,0.552366816177494,140.5,140.418484758614,1,0.998008209733118,0.736904943694858,NaN,1.45412338923625,1,0.648158716294701,0.636035092356216,NaN,-3.24276129733398,1,0.469258422609562,0.550543544901401,NaN,-8.13132973979498,0,0.10908626312729,0.22933480173629,NaN,9.24448552403492,1,0.538185417420821,0.546433224293879,NaN,3.66511753350228,1,0.963649660347734,0.883432417100361,NaN,NaN,1,7.81230793172275,NaN,0,0.196437611121751,0.263834527098397,2.18922644919941,2.04926593195885,0,0.379703520552444,0.427487446442745,NaN,-13.5195001167519,1,0.601269558749025,0.639094051065977,NaN,0.638504191426821,1,0.35352371945289,0.563429336922973,NaN,0.648922689440988,0,0.277253215474181,0.52131533173271,NaN,0,0,0.234824999174038,0.617412499587019,NaN,-1.19065850257342,0,0.335482962887105,0.518276426477746,NaN,2.44482539121376,1,0.516402411012146,0.592838405131202,NaN,0.41922580646116,1,0.226333139985462,0.533789049391294
DTXSID10379991,478.022544584,36,29,11,1,0,0,0,0,1,10,1,1,1,20.23,52.2106,-0.222,NaN,5.1283061944571,1,0.560491749807618,0.471893592508015,NaN,63.9468448184035,0,0.519098947767586,0.604179002413804,NaN,153.542631742689,0,0.274232047831408,0.465372383276615,NaN,-1.13133511922508,1,0.554917902728185,0.566003447747886,NaN,-5.64178382535139,0,0.574694583351513,0.449655027902032,NaN,-9.69291268967856,0,0.074403614380642,0.174544293627489,NaN,26.708427015632,1,0.490989631544613,0.550953708545863,NaN,4.77190647663039,1,0.924883392460109,0.754860695305688,NaN,NaN,1,9.95132499136937,NaN,0,0.152160930262324,0.247883328924312,5.12829083231993,5.12708762610897,0,0.356326340034971,0.359888460716163,NaN,-14.0791238548236,1,0.25842786295116,0.370482548451619,NaN,2.19549159213372,0,0.221607555281037,0.377425481702508,NaN,0.695210796975898,0,0.284907394589163,0.525954018210774,NaN,0,0,0.344577004691187,0.672288502345594,NaN,0.438586592142124,0,0.198470082015041,0.301881365552987,NaN,2.66041172354323,0,0.297487357520281,0.35402555403373,NaN,0.00849782226266189,0,0.282849262980818,0.635315462084175
DTXSID1047578,373.921402108,20,16,6,0,0,0,0,0,1,5,0,0,1,0,42.0086,-0.019,NaN,5.07736831883879,1,0.401591558851484,0.484829438280007,NaN,-7.16221821510531,1,0.527921618673354,0.455530723407054,NaN,108.350142534283,1,0.438229972093174,0.577241738806704,NaN,0.730595124756555,1,0.615807375259256,0.754111263261807,NaN,-3.8949315222393,0,0.369581753053448,0.520854271865061,NaN,-2.36033754959449,0,0.223678887760272,0.423740077301067,NaN,24.1389691207383,1,0.322294801733201,0.450618097830879,NaN,3.52443853660573,1,0.986315884473777,0.733973755397799,NaN,NaN,0,NaN,NaN,0,0.177958093971274,0.255067024382572,5.07736831883879,5.07736831883879,0,0.289774826411379,0.36994823133129,NaN,-12.9789135730454,1,0.467431775999016,0.576656250781664,NaN,2.86401595073418,1,0.310925238999651,0.465238351535615,NaN,0.695484508738876,0,0.280228041387402,0.523440621340545,NaN,0,0,0.164316834969597,0.582158417484798,NaN,-0.523855222279943,0,0.348743803041741,0.459354329127031,NaN,3.67270306677982,0,0.466804162869584,0.613322939654177,NaN,0.344317014461707,0,0.129584101033003,0.42275552203956
DTXSID20335129,457.81751284,20,20,6,0,0,0,0,0,1,5,0,0,1,0,46.8278,0.021,NaN,5.0088506516805,1,0.321327031771177,0.44129814222048,NaN,-48.2421781669694,0,0.485763631781046,0.588068349555741,142,141.976471498012,1,0.998008718755826,0.900487743920831,NaN,1.92338482893311,1,0.458709046060326,0.609455290628156,NaN,-3.90329609629755,0,0.30585017033753,0.487577709774177,NaN,-1.88985997810005,0,0.143190260682752,0.318108389036418,NaN,24.7376978999821,1,0.517830986453944,0.570598312398463,NaN,3.9234048308495,1,0.988816900448934,0.771502989098283,NaN,NaN,0,NaN,NaN,0,0.140818979166677,0.238757501787129,5.0088506516805,5.0088506516805,0,0.231073005468927,0.340027822003805,NaN,-14.4460469340898,1,0.491182573720669,0.570690884033502,NaN,2.57477723615547,0,0.239162250903467,0.492114584354997,NaN,0.721245422067077,1,0.494162286080252,0.675794216850951,NaN,0,0,0.219785756197604,0.609892878098802,NaN,-0.836389056216972,0,0.266179795791614,0.419905002771567,NaN,4.22567751466577,0,0.321495774513144,0.500361990482007,NaN,0.00154151505027906,0,0.175141333234871,0.586942891231372
DTXSID30190948,453.79617176,14,14,4,0,0,0,0,0,1,3,0,0,1,0,48.0366,0.221,NaN,3.37169923369957,0,0.305571024045041,0.45720526791037,-9,-9.10092415350104,1,0.998011328041503,0.898752066182984,150,149.972191911136,1,0.998006257838355,0.804955467563483,NaN,1.52054928456692,1,0.567728391559485,0.681480294934649,NaN,-4.01342727209038,0,0.34649652887595,0.397640421749445,NaN,-1.76808720612756,0,0.17367308552954,0.39340790164394,NaN,19.8348352637056,1,0.585592097276883,0.580091843473718,NaN,3.86959999321815,1,0.995149043533683,0.925016862085127,NaN,NaN,0,NaN,NaN,0,0.165261301702523,0.247081110192216,3.37169923369957,3.37169923369957,0,0.235416162873782,0.352143189051293,NaN,-14.0964381641046,1,0.757878590409438,0.71826402028009,NaN,2.26621903700225,1,0.298794204205249,0.599239786676999,NaN,0.727068873555868,1,0.679289782091834,0.680258212627219,NaN,0,0,0.152920233946355,0.576460116973177,NaN,0.75787899792431,1,0.364409867249672,0.474482575892873,NaN,3.75410527369589,0,0.288460714432923,0.458340834024641,NaN,0.444488952134695,0,0.0492482301552548,0.388382302144649
